year,date,day_of_the_week,bank_holiday,country,complete_date,day_of_the_year,today,date_has_passed,closest_bh_date
2023,01-May,Monday,Early May bank holiday,Northern Ireland,2023-05-01,121,2023-01-30,FALSE,2023-03-17
2023,08-May,Monday,Bank holiday for the coronation of King Charles III,Northern Ireland,2023-05-08,128,2023-01-30,FALSE,2023-03-17
2023,29-May,Monday,Spring bank holiday,Northern Ireland,2023-05-29,149,2023-01-30,FALSE,2023-03-17
2023,12-Jul,Wednesday,Battle of the Boyne (Orangemen’s Day),Northern Ireland,2023-07-12,193,2023-01-30,FALSE,2023-03-17
2023,28-Aug,Monday,Summer bank holiday,Northern Ireland,2023-08-28,240,2023-01-30,FALSE,2023-03-17
2023,25-Dec,Monday,Christmas Day,Northern Ireland,2023-12-25,359,2023-01-30,FALSE,2023-03-17
2023,26-Dec,Tuesday,Boxing Day,Northern Ireland,2023-12-26,360,2023-01-30,FALSE,2023-03-17
2024,01-Jan,Monday,New Year’s Day,Northern Ireland,2024-01-01,1,2023-01-30,FALSE,2023-03-17
2024,18-Mar,Monday,St Patrick’s Day (substitute day),Northern Ireland,2024-03-18,78,2023-01-30,FALSE,2023-03-17
2024,29-Mar,Friday,Good Friday,Northern Ireland,2024-03-29,89,2023-01-30,FALSE,2023-03-17
2024,01-Apr,Monday,Easter Monday,Northern Ireland,2024-04-01,92,2023-01-30,FALSE,2023-03-17
2024,06-May,Monday,Early May bank holiday,Northern Ireland,2024-05-06,127,2023-01-30,FALSE,2023-03-17
2024,27-May,Monday,Spring bank holiday,Northern Ireland,2024-05-27,148,2023-01-30,FALSE,2023-03-17
2024,12-Jul,Friday,Battle of the Boyne (Orangemen’s Day),Northern Ireland,2024-07-12,194,2023-01-30,FALSE,2023-03-17
2024,26-Aug,Monday,Summer bank holiday,Northern Ireland,2024-08-26,239,2023-01-30,FALSE,2023-03-17
2024,25-Dec,Wednesday,Christmas Day,Northern Ireland,2024-12-25,360,2023-01-30,FALSE,2023-03-17
2024,26-Dec,Thursday,Boxing Day,Northern Ireland,2024-12-26,361,2023-01-30,FALSE,2023-03-17
2025,01-Jan,Wednesday,New Year’s Day,Northern Ireland,2025-01-01,1,2023-01-30,FALSE,2023-03-17
2025,17-Mar,Monday,St Patrick’s Day,Northern Ireland,2025-03-17,76,2023-01-30,FALSE,2023-03-17
2025,18-Apr,Friday,Good Friday,Northern Ireland,2025-04-18,108,2023-01-30,FALSE,2023-03-17
2025,21-Apr,Monday,Easter Monday,Northern Ireland,2025-04-21,111,2023-01-30,FALSE,2023-03-17
2025,05-May,Monday,Early May bank holiday,Northern Ireland,2025-05-05,125,2023-01-30,FALSE,2023-03-17
2025,26-May,Monday,Spring bank holiday,Northern Ireland,2025-05-26,146,2023-01-30,FALSE,2023-03-17
2025,14-Jul,Monday,Battle of the Boyne (Orangemen’s Day) (substitute day),Northern Ireland,2025-07-14,195,2023-01-30,FALSE,2023-03-17
2025,25-Aug,Monday,Summer bank holiday,Northern Ireland,2025-08-25,237,2023-01-30,FALSE,2023-03-17
2025,25-Dec,Thursday,Christmas Day,Northern Ireland,2025-12-25,359,2023-01-30,FALSE,2023-03-17
2025,26-Dec,Friday,Boxing Day,Northern Ireland,2025-12-26,360,2023-01-30,FALSE,2023-03-17
2023,01-Jan,Sunday,New Year's Day,Ireland,2023-01-01,1,2023-01-30,TRUE,2023-02-06
2023,06-Feb,Monday,St Brigid’s Day,Ireland,2023-02-06,37,2023-01-30,FALSE,2023-02-06
2023,17-Mar,Friday,Saint Patrick's Day,Ireland,2023-03-17,76,2023-01-30,FALSE,2023-02-06
2023,10-Apr,Monday,Easter Monday,Ireland,2023-04-10,100,2023-01-30,FALSE,2023-02-06
2023,01-May,Monday,May Day,Ireland,2023-05-01,121,2023-01-30,FALSE,2023-02-06
2023,05-Jun,Monday,June Bank Holiday,Ireland,2023-06-05,156,2023-01-30,FALSE,2023-02-06
2023,07-Aug,Monday,August Bank Holiday,Ireland,2023-08-07,219,2023-01-30,FALSE,2023-02-06
2023,30-Oct,Monday,October Bank Holiday,Ireland,2023-10-30,303,2023-01-30,FALSE,2023-02-06
2023,25-Dec,Monday,Christmas Day,Ireland,2023-12-25,359,2023-01-30,FALSE,2023-02-06
2023,26-Dec,Tuesday,St Stephen's Day,Ireland,2023-12-26,360,2023-01-30,FALSE,2023-02-06
2024,01-Jan,Monday,New Year's Day,Ireland,2024-01-01,1,2023-01-30,FALSE,2023-02-06
2024,05-Feb,Monday,St Brigid’s Day,Ireland,2024-02-05,36,2023-01-30,FALSE,2023-02-06
2024,17-Mar,Sunday,Saint Patrick's Day,Ireland,2024-03-17,77,2023-01-30,FALSE,2023-02-06
